Filename                                 MP2/aVTZ
047_Na-Water_Deg00_-30                 -18.572608
047_Na-Water_Deg00_-15                 -21.282494
047_Na-Water_Deg00_+00                 -22.174708
047_Na-Water_Deg00_+15                 -21.282494
047_Na-Water_Deg00_+30                 -18.572608
047_Na-Water_Deg00_+45                 -13.883527
047_Na-Water_Deg00_+60                  -6.681234
048_K-Water_Deg00_-60                   -4.236955
048_K-Water_Deg00_-45                   -9.922753
048_K-Water_Deg00_-30                  -13.533081
048_K-Water_Deg00_-15                  -15.578932
048_K-Water_Deg00_+00                  -16.248138
048_K-Water_Deg00_+15                  -15.578932
048_K-Water_Deg00_+30                  -13.533081
048_K-Water_Deg00_+45                   -9.922753
048_K-Water_Deg00_+60                   -4.236955
049_F-Water_Deg00_-60                    0.676128
049_F-Water_Deg00_-45                   -8.215871
049_F-Water_Deg00_-30                  -18.800144
049_F-Water_Deg00_-15                  -27.904033
049_F-Water_Deg00_+00                  -31.287114
049_F-Water_Deg00_+15                  -27.978578
049_F-Water_Deg00_+30                  -21.375841
049_F-Water_Deg00_+45                  -16.707042
049_F-Water_Deg00_+60                  -16.468728
050_Cl-Water_Deg00_-60                  -1.302572
050_Cl-Water_Deg00_-45                  -6.051812
050_Cl-Water_Deg00_-30                 -10.611709
050_Cl-Water_Deg00_-15                 -13.888471
050_Cl-Water_Deg00_+00                 -15.129635
050_Cl-Water_Deg00_+15                 -14.558320
050_Cl-Water_Deg00_+30                 -13.301943
050_Cl-Water_Deg00_+45                 -12.634710
050_Cl-Water_Deg00_+60                 -13.044716
051_Br-Water_Deg00_-60                  -0.931185
051_Br-Water_Deg00_-45                  -5.042061
051_Br-Water_Deg00_-30                  -8.893483
051_Br-Water_Deg00_-15                 -11.654882
051_Br-Water_Deg00_+00                 -12.833898
051_Br-Water_Deg00_+15                 -12.618609
051_Br-Water_Deg00_+30                 -11.804122
051_Br-Water_Deg00_+45                 -11.330028
051_Br-Water_Deg00_+60                 -11.584043
052_Li-Water_Deg15_-60                 -14.040114
052_Li-Water_Deg15_-45                 -22.820814
052_Li-Water_Deg15_-30                 -28.631745
052_Li-Water_Deg15_-15                 -32.039059
052_Li-Water_Deg15_+00                 -33.169176
052_Li-Water_Deg15_+15                 -32.039059
052_Li-Water_Deg15_+30                 -28.631745
052_Li-Water_Deg15_+45                 -22.820814
052_Li-Water_Deg15_+60                 -14.040114
053_Na-Water_Deg15_-60                  -7.095335
053_Na-Water_Deg15_-45                 -13.937684
053_Na-Water_Deg15_-30                 -18.439106
053_Na-Water_Deg15_-15                 -21.050587
053_Na-Water_Deg15_+00                 -21.911560
053_Na-Water_Deg15_+15                 -21.050587
053_Na-Water_Deg15_+30                 -18.439106
053_Na-Water_Deg15_+45                 -13.937684
053_Na-Water_Deg15_+60                  -7.095335
