Filename                                   AMOEBA
118_Li-Water_Cls_044                   -97.354733
118_Li-Water_Cls_045                   -93.641589
118_Li-Water_Cls_046                   -94.666821
118_Li-Water_Cls_047                   -95.066844
118_Li-Water_Cls_048                   -82.104562
118_Li-Water_Cls_049                   -88.364227
118_Li-Water_Cls_050                   -95.668017
118_Li-Water_Cls_051                   -90.155374
118_Li-Water_Cls_052                   -94.446183
118_Li-Water_Cls_053                   -95.857225
118_Li-Water_Cls_054                   -92.510441
118_Li-Water_Cls_055                   -88.789631
118_Li-Water_Cls_056                   -96.584499
118_Li-Water_Cls_057                   -98.154843
118_Li-Water_Cls_058                   -94.916269
118_Li-Water_Cls_059                   -94.913985
118_Li-Water_Cls_060                   -96.834586
118_Li-Water_Cls_061                   -92.858526
118_Li-Water_Cls_062                   -96.378821
118_Li-Water_Cls_063                   -93.765256
118_Li-Water_Cls_064                   -85.950428
118_Li-Water_Cls_065                   -94.139971
118_Li-Water_Cls_066                   -94.449459
118_Li-Water_Cls_067                   -92.683401
118_Li-Water_Cls_068                   -93.131074
118_Li-Water_Cls_069                   -94.264770
118_Li-Water_Cls_070                   -95.216423
118_Li-Water_Cls_071                   -91.985532
118_Li-Water_Cls_072                   -84.716173
118_Li-Water_Cls_073                   -93.845259
118_Li-Water_Cls_074                   -91.037574
118_Li-Water_Cls_075                   -94.416082
118_Li-Water_Cls_076                   -96.826855
118_Li-Water_Cls_077                   -96.739341
118_Li-Water_Cls_078                   -78.757030
118_Li-Water_Cls_079                   -96.957369
118_Li-Water_Cls_080                   -95.455220
118_Li-Water_Cls_081                   -96.618880
118_Li-Water_Cls_082                   -94.712322
118_Li-Water_Cls_083                   -90.905035
118_Li-Water_Cls_084                   -97.533309
118_Li-Water_Cls_085                   -78.290982
118_Li-Water_Cls_086                   -92.853077
118_Li-Water_Cls_087                   -98.177566
118_Li-Water_Cls_088                   -93.009189
118_Li-Water_Cls_089                   -82.416104
118_Li-Water_Cls_090                   -96.149646
118_Li-Water_Cls_091                   -96.408867
118_Li-Water_Cls_092                   -95.527521
118_Li-Water_Cls_093                   -94.869110
118_Li-Water_Cls_094                   -94.566668
118_Li-Water_Cls_095                   -94.835576
118_Li-Water_Cls_096                   -97.400366
118_Li-Water_Cls_097                   -92.173389
118_Li-Water_Cls_098                   -96.217413
118_Li-Water_Cls_099                   -81.589157
119_Na-Water_Cls_000                   -56.319509
119_Na-Water_Cls_001                   -70.197418
119_Na-Water_Cls_002                   -77.441394
119_Na-Water_Cls_003                   -75.170434
119_Na-Water_Cls_004                   -67.119035
119_Na-Water_Cls_005                   -58.368402
119_Na-Water_Cls_006                   -63.707636
119_Na-Water_Cls_007                   -74.957288
