Filename                           Electrostatics        Exchange      Dispersion    Polarization  ChargeTransfer     ALMO/TZVPPD
017_Na-2Water_1.30                     -28.033580        1.090966       -0.543284       -6.085301       -0.393260      -33.964484
017_Na-2Water_1.40                     -24.348207        0.455951       -0.348064       -4.695650       -0.351577      -29.287524
017_Na-2Water_1.50                     -21.367591        0.196821       -0.226004       -3.624833       -0.294479      -25.316085
017_Na-2Water_2.00                     -12.341013        0.005115       -0.035229       -1.151076       -0.054183      -13.576386
018_K-2Water_0.90                      -59.346534       60.369312       -6.833819      -10.449235       -4.538886      -20.799140
018_K-2Water_0.95                      -49.030282       37.217925       -5.138576       -9.174068       -2.922753      -29.047753
018_K-2Water_1.00                      -41.730760       22.926697       -3.884775       -8.106668       -1.966683      -32.762165
018_K-2Water_1.05                      -36.388265       14.121558       -2.953059       -7.180927       -1.379637      -33.780330
018_K-2Water_1.10                      -32.329828        8.701697       -2.251052       -6.351147       -1.019718      -33.250024
018_K-2Water_1.20                      -26.533795        3.319622       -1.337835       -4.922538       -0.615535      -30.090081
018_K-2Water_1.30                      -22.494479        1.282553       -0.826840       -3.778179       -0.405784      -26.222729
018_K-2Water_1.40                      -19.437261        0.505473       -0.529230       -2.892065       -0.280593      -22.633700
018_K-2Water_1.50                      -17.007242        0.203872       -0.350908       -2.224809       -0.198805      -19.577892
018_K-2Water_2.00                       -9.764412        0.002079       -0.057935       -0.706190       -0.039627      -10.566085
019_F-2Water_0.90                      -90.869097      103.459847       -6.864269      -30.910946      -24.738313      -49.922777
019_F-2Water_0.95                      -82.393547       85.779254       -6.113623      -27.589173      -21.325884      -51.642973
019_F-2Water_1.00                      -74.594049       70.555139       -5.434106      -24.595459      -18.239986      -52.308461
019_F-2Water_1.05                      -67.487333       57.630115       -4.823351      -21.916444      -15.509011      -52.106047
019_F-2Water_1.10                      -61.062094       46.792543       -4.277462      -19.531859      -13.134823      -51.213671
019_F-2Water_1.20                      -50.117113       30.415798       -3.365440      -15.541826       -9.377677      -47.986233
019_F-2Water_1.30                      -41.387165       19.511974       -2.653800      -12.420148       -6.722729      -43.671893
019_F-2Water_1.40                      -34.454589       12.423399       -2.097490       -9.980760       -4.879947      -38.989388
019_F-2Water_1.50                      -28.940249        7.884919       -1.659441       -8.071200       -3.596654      -34.382600
019_F-2Water_2.00                      -13.723853        0.817830       -0.513886       -3.073160       -0.845292      -17.338337
020_Cl-2Water_0.90                     -51.555497       59.740249       -8.103872      -10.745531      -14.912333      -25.576984
020_Cl-2Water_0.95                     -44.119049       43.134011       -6.809656       -9.129374      -11.458580      -28.382624
020_Cl-2Water_1.00                     -38.105617       30.991348       -5.719909       -7.889054       -8.746343      -29.469575
020_Cl-2Water_1.05                     -33.217973       22.192543       -4.803394       -6.895124       -6.661711      -29.385660
020_Cl-2Water_1.10                     -29.215774       15.862404       -4.029995       -6.066300       -5.085516      -28.535206
020_Cl-2Water_1.20                     -23.151960        8.105593       -2.826816       -4.732290       -3.030880      -25.636329
020_Cl-2Water_1.30                     -18.855139        4.181381       -1.969288       -3.694814       -1.889555      -22.227438
020_Cl-2Water_1.40                     -15.693595        2.198303       -1.367447       -2.877055       -1.231979      -18.971821
020_Cl-2Water_1.50                     -13.286233        1.184417       -0.947060       -2.239675       -0.824904      -16.113480
020_Cl-2Water_2.00                      -6.758604        0.067686       -0.191946       -0.692232       -0.097204       -7.672275
021_Br-2Water_0.90                     -48.070339       59.914340       -8.626315       -9.685636      -13.983580      -20.451530
021_Br-2Water_0.95                     -40.705402       42.723351       -7.219264       -8.016539      -10.771511      -23.989364
021_Br-2Water_1.00                     -34.846176       30.325024       -6.040416       -6.790511       -8.254637      -25.606716
021_Br-2Water_1.05                     -30.156788       21.452844       -5.041324       -5.859632       -6.303657      -25.908556
021_Br-2Water_1.10                     -26.372347       15.143714       -4.208270       -5.122992       -4.806788      -25.366683
021_Br-2Water_1.20                     -20.744025        7.532433       -2.909154       -3.995746       -2.812739      -22.929230
021_Br-2Water_1.30                     -16.833556        3.767232       -1.994814       -3.138074       -1.690583      -19.889771
021_Br-2Water_1.40                     -13.992017        1.913121       -1.366324       -2.454637       -1.057266      -16.957075
021_Br-2Water_1.50                     -11.844097        0.995053       -0.935970       -1.909250       -0.686496      -14.380784
021_Br-2Water_2.00                      -6.054374        0.053991       -0.175406       -0.571534       -0.089747       -6.837070
022_Li-3Water                          -81.818858       26.981214       -2.548327      -29.920889       -4.917949      -92.224833
023_Li-4Water                          -98.002988       28.524163       -2.727844      -36.386950       -5.008270     -113.601888
024_Li-5Water                         -108.482624       28.855951       -2.750717      -37.837118       -4.868762     -125.083270
025_Li-6Water                         -112.976625       17.494097       -2.223088      -39.680617       -3.802892     -141.189125
026_Na-3Water                          -69.442424       24.657266       -3.359775      -17.484011       -1.303346      -66.932266
027_Na-4Water                          -88.869240       33.206788       -4.388576      -22.658795       -1.581358      -84.291181
028_Na-5Water                          -84.655641       24.821893       -4.100741      -24.213528       -1.251410      -89.399450
029_Na-6Water                          -87.074976       23.321152       -4.302462      -26.539890       -1.211855      -95.808007
030_K-3Water                           -58.568595       30.036687       -5.383485      -11.752151       -2.509847      -48.177390
031_K-4Water                           -74.507529       37.534011       -6.908843      -15.200239       -2.977749      -62.060325
032_K-5Water                           -66.676960       33.660564       -7.248470      -16.829422       -2.733413      -59.827701
033_K-6Water                           -95.690535       39.420459       -8.555688      -19.870076       -3.048901      -87.744718
034_F-3Water                           -98.133676       82.890129       -7.246009      -28.739364      -18.864125      -70.093045
035_F-4Water                          -108.213384       80.096176       -6.753585      -32.129159      -15.829756      -82.829732
036_F-5Water                          -127.883437       89.593427       -7.913934      -35.643332      -16.079302      -97.926577
037_F-6Water                          -139.136592       89.557457       -8.349689      -36.596176      -14.676912     -109.201888
038_Cl-3Water                          -54.837596       42.771534       -8.514818       -9.459178      -11.461090      -41.501147
039_Cl-4Water                          -66.058007       46.630880       -9.482409      -13.395937      -10.828250      -53.133724
040_Cl-5Water                          -78.926028       53.682290      -11.303681      -15.881381      -11.878083      -64.306883
041_Cl-6Water                          -83.357672       54.143666      -11.796463      -15.892089      -11.650669      -68.553250
042_Br-3Water                          -50.220053       42.325693       -9.033341       -7.703346      -11.330354      -35.961424
043_Br-4Water                          -62.564125       48.327533      -10.691515      -10.616324      -11.105736      -46.650167
044_Br-5Water                          -74.822180       57.106238      -12.852079      -12.581286      -12.837213      -55.986520
045_Br-6Water                          -81.043332       61.180163      -13.823088      -13.545602      -13.812165      -61.044001
046_Li-Water_Deg00_-60                  -9.435134       10.891181       -1.113241      -11.486998       -3.351171      -14.495387
046_Li-Water_Deg00_-45                 -19.582696       11.251458       -1.091467      -11.027581       -3.236855      -23.687141
046_Li-Water_Deg00_-30                 -26.848160       12.305091       -1.140440      -10.820411       -3.285253      -29.789149
046_Li-Water_Deg00_-15                 -31.288791       13.142304       -1.193260      -10.711090       -3.336640      -33.387452
046_Li-Water_Deg00_+00                 -32.788815       13.444407       -1.214221      -10.672443       -3.353681      -34.584775
046_Li-Water_Deg00_+15                 -31.288791       13.142304       -1.193260      -10.711090       -3.336640      -33.387452
046_Li-Water_Deg00_+30                 -26.848160       12.305091       -1.140440      -10.820411       -3.285253      -29.789149
046_Li-Water_Deg00_+45                 -19.582696       11.251458       -1.091467      -11.027581       -3.236855      -23.687141
046_Li-Water_Deg00_+60                  -9.435134       10.891181       -1.113241      -11.486998       -3.351171      -14.495387
047_Na-Water_Deg00_-60                  -9.270554        9.724546       -1.344909       -6.900430       -0.818332       -8.609680
047_Na-Water_Deg00_-45                 -16.847371        9.803776       -1.300335       -6.689006       -0.731955      -15.764890
047_Na-Water_Deg00_-30                 -22.385612       10.538337       -1.324880       -6.621200       -0.696941      -20.490296
047_Na-Water_Deg00_-15                 -25.765344       11.154804       -1.363193       -6.592447       -0.682648      -23.248829
047_Na-Water_Deg00_+00                 -26.902199       11.380306       -1.379756       -6.581740       -0.678633      -24.162022
047_Na-Water_Deg00_+15                 -25.765344       11.154804       -1.363193       -6.592495       -0.682600      -23.248829
047_Na-Water_Deg00_+30                 -22.385612       10.538337       -1.324880       -6.621152       -0.696965      -20.490296
047_Na-Water_Deg00_+45                 -16.847371        9.803776       -1.300335       -6.689149       -0.731812      -15.764890
047_Na-Water_Deg00_+60                  -9.270554        9.724546       -1.344909       -6.900430       -0.818308       -8.609680
048_K-Water_Deg00_-60                   -9.220531       13.127271       -2.299068       -4.862189       -1.540894       -4.795387
048_K-Water_Deg00_-45                  -15.043045       12.878346       -2.179852       -4.695889       -1.389866      -10.430282
048_K-Water_Deg00_-30                  -19.404637       13.564221       -2.172323       -4.637906       -1.376482      -14.027103
048_K-Water_Deg00_-15                  -22.086520       14.234680       -2.205927       -4.621750       -1.386592      -16.066109
048_K-Water_Deg00_+00                  -22.989818       14.492424       -2.223948       -4.618834       -1.392280      -16.732457
048_K-Water_Deg00_+15                  -22.086520       14.234680       -2.205927       -4.621750       -1.386592      -16.066109
048_K-Water_Deg00_+30                  -19.404637       13.564221       -2.172323       -4.637906       -1.376482      -14.027103
048_K-Water_Deg00_+45                  -15.043045       12.878346       -2.179852       -4.695889       -1.389866      -10.430282
048_K-Water_Deg00_+60                   -9.220531       13.127271       -2.299068       -4.862189       -1.540894       -4.795387
049_F-Water_Deg00_-60                   -6.577533       16.468905       -2.143141       -5.128633       -2.512046        0.107576
049_F-Water_Deg00_-45                  -16.862906       22.432529       -2.522395       -7.007409       -4.913002       -8.873184
049_F-Water_Deg00_-30                  -29.513910       33.079326       -3.020650      -10.615368       -9.385086      -19.455688
049_F-Water_Deg00_-15                  -41.277127       45.891635       -3.469622      -15.091539      -14.591348      -28.538002
049_F-Water_Deg00_+00                  -47.167447       52.193451       -3.655163      -16.979517      -16.455521      -32.064197
049_F-Water_Deg00_+15                  -44.992424       46.666324       -3.533987      -14.188695      -12.990798      -29.039603
049_F-Water_Deg00_+30                  -38.227533       36.126840       -3.252653       -9.858724       -7.535516      -22.747610
049_F-Water_Deg00_+45                  -33.083126       29.312763       -3.011831       -7.267376       -4.157433      -18.207003
049_F-Water_Deg00_+60                  -32.794670       29.035540       -2.921797       -7.181190       -4.054708      -17.916778
050_Cl-Water_Deg00_-60                  -3.834512        8.238337       -2.403920       -2.061305       -1.398207       -1.459632
050_Cl-Water_Deg00_-45                  -9.057290       10.635325       -2.666157       -2.586998       -2.536257       -6.211353
050_Cl-Water_Deg00_-30                 -14.282863       13.920005       -2.920053       -3.313026       -4.168953      -10.764866
050_Cl-Water_Deg00_-15                 -18.368571       16.828250       -3.091898       -3.925239       -5.497921      -14.055354
050_Cl-Water_Deg00_+00                 -20.387452       17.641611       -3.150669       -3.984632       -5.505210      -15.386353
050_Cl-Water_Deg00_+15                 -20.323088       16.121415       -3.126936       -3.469575       -4.182075      -14.980258
050_Cl-Water_Deg00_+30                 -19.254087       13.958317       -3.078394       -2.863360       -2.645961      -13.883485
050_Cl-Water_Deg00_+45                 -18.607027       12.956573       -3.039794       -2.598709       -1.986401      -13.275359
050_Cl-Water_Deg00_+60                 -18.968045       13.703250       -3.030664       -2.798996       -2.523877      -13.618356
051_Br-Water_Deg00_-60                  -3.617567        8.127868       -2.540153       -1.719646       -1.365488       -1.114986
051_Br-Water_Deg00_-45                  -8.212476       10.343021       -2.795698       -2.143451       -2.418164       -5.226793
051_Br-Water_Deg00_-30                 -12.755975       13.309489       -3.033293       -2.741778       -3.861902       -9.083461
051_Br-Water_Deg00_-15                 -16.341611       15.910779       -3.194168       -3.258293       -4.987476      -11.870746
051_Br-Water_Deg00_+00                 -18.268499       16.685636       -3.253537       -3.307505       -4.988767      -13.132672
051_Br-Water_Deg00_+15                 -18.504589       15.424546       -3.246439       -2.872443       -3.869646      -13.068571
051_Br-Water_Deg00_+30                 -17.837165       13.559369       -3.215272       -2.373853       -2.535946      -12.402892
051_Br-Water_Deg00_+45                 -17.372156       12.677940       -3.187811       -2.161018       -1.947156      -11.990177
051_Br-Water_Deg00_+60                 -17.590894       13.331836       -3.173709       -2.324976       -2.420124      -12.177892
052_Li-Water_Deg15_-60                 -10.715320       11.439842       -1.140010      -11.418284       -3.356668      -15.190440
052_Li-Water_Deg15_-45                 -20.279828       11.742902       -1.118810      -10.995483       -3.249928      -23.901123
052_Li-Water_Deg15_-30                 -27.184345       12.699211       -1.162906      -10.811640       -3.280378      -29.740081
052_Li-Water_Deg15_-15                 -31.417471       13.472156       -1.211377      -10.716037       -3.320793      -33.193499
052_Li-Water_Deg15_+00                 -32.848948       13.753227       -1.230736      -10.682146       -3.335062      -34.343666
052_Li-Water_Deg15_+15                 -31.417471       13.472156       -1.211377      -10.716037       -3.320793      -33.193499
052_Li-Water_Deg15_+30                 -27.184345       12.699211       -1.162906      -10.811640       -3.280378      -29.740081
052_Li-Water_Deg15_+45                 -20.279828       11.742902       -1.118810      -10.995483       -3.249928      -23.901123
052_Li-Water_Deg15_+60                 -10.715320       11.439842       -1.140010      -11.418284       -3.356668      -15.190440
053_Na-Water_Deg15_-60                 -10.201697       10.174570       -1.367400       -6.865989       -0.797443       -9.057935
053_Na-Water_Deg15_-45                 -17.353967       10.216467       -1.324713       -6.671965       -0.718881      -15.853059
053_Na-Water_Deg15_-30                 -22.618881       10.874689       -1.345602       -6.609393       -0.683652      -20.382863
053_Na-Water_Deg15_-15                 -25.843260       11.439675       -1.380139       -6.583102       -0.667734      -23.034560
053_Na-Water_Deg15_+00                 -26.929446       11.648184       -1.395244       -6.573470       -0.662787      -23.912787
053_Na-Water_Deg15_+15                 -25.843260       11.439675       -1.380139       -6.583007       -0.667830      -23.034560
053_Na-Water_Deg15_+30                 -22.618881       10.874689       -1.345602       -6.609393       -0.683652      -20.382863
053_Na-Water_Deg15_+45                 -17.353967       10.216467       -1.324713       -6.671941       -0.718881      -15.853059
053_Na-Water_Deg15_+60                 -10.201697       10.174570       -1.367400       -6.866181       -0.797251       -9.057935
054_K-Water_Deg15_-60                   -9.935851       13.621343       -2.318260       -4.836114       -1.538934       -5.007815
054_K-Water_Deg15_-45                  -15.437118       13.349235       -2.205497       -4.681955       -1.400741      -10.376076
054_K-Water_Deg15_-30                  -19.582744       13.951052       -2.195220       -4.628561       -1.383461      -13.838934
054_K-Water_Deg15_-15                  -22.141013       14.558580       -2.224068       -4.613767       -1.387763      -15.808031
054_K-Water_Deg15_+00                  -23.004135       14.794479       -2.240033       -4.611114       -1.390918      -16.451721
054_K-Water_Deg15_+15                  -22.141013       14.558580       -2.224068       -4.613767       -1.387763      -15.808031
054_K-Water_Deg15_+30                  -19.582744       13.951052       -2.195220       -4.628561       -1.383461      -13.838934
054_K-Water_Deg15_+45                  -15.437118       13.349235       -2.205497       -4.681955       -1.400741      -10.376076
054_K-Water_Deg15_+60                   -9.935851       13.621343       -2.318260       -4.836114       -1.538934       -5.007815
055_F-Water_Deg15_-60                   -5.915296       16.464484       -2.150000       -5.094670       -2.357839        0.946678
055_F-Water_Deg15_-45                  -15.397323       21.754661       -2.494503       -6.724379       -4.434512       -7.296056
055_F-Water_Deg15_-30                  -26.815535       30.819455       -2.938408       -9.722395       -8.147921      -16.804852
055_F-Water_Deg15_-15                  -37.316085       41.342376       -3.335373      -13.272968      -12.331883      -24.913958
055_F-Water_Deg15_+00                  -42.654493       46.493356       -3.504924      -14.721797      -13.794455      -28.182314
