Filename                                 MP2/aVTZ
117_2Br-Water_neq_1.50                  35.799968
117_2Br-Water_neq_2.00                  29.669398
118_Li-Water_Cls_000                   -91.324283
118_Li-Water_Cls_001                   -96.286932
118_Li-Water_Cls_002                   -93.728668
118_Li-Water_Cls_003                   -73.776519
118_Li-Water_Cls_004                   -85.986895
118_Li-Water_Cls_005                   -92.387276
118_Li-Water_Cls_006                   -77.633372
118_Li-Water_Cls_007                   -86.109196
118_Li-Water_Cls_008                   -91.056110
118_Li-Water_Cls_009                   -92.275561
118_Li-Water_Cls_010                   -75.018548
118_Li-Water_Cls_011                   -95.545450
118_Li-Water_Cls_012                   -78.609456
118_Li-Water_Cls_013                   -91.111265
118_Li-Water_Cls_014                   -95.429120
118_Li-Water_Cls_015                   -48.600847
118_Li-Water_Cls_016                   -91.215463
118_Li-Water_Cls_017                   -91.139333
118_Li-Water_Cls_018                   -87.608473
118_Li-Water_Cls_019                   -82.270904
118_Li-Water_Cls_020                   -92.912535
118_Li-Water_Cls_021                   -83.863004
118_Li-Water_Cls_022                   -79.328138
118_Li-Water_Cls_023                   -85.323968
118_Li-Water_Cls_024                   -94.216103
118_Li-Water_Cls_025                   -89.025620
118_Li-Water_Cls_026                   -85.550076
118_Li-Water_Cls_027                   -72.775351
118_Li-Water_Cls_028                   -75.214811
118_Li-Water_Cls_029                   -93.499656
118_Li-Water_Cls_030                   -88.168734
118_Li-Water_Cls_031                   -74.829765
118_Li-Water_Cls_032                   -86.435005
118_Li-Water_Cls_033                   -91.253674
118_Li-Water_Cls_034                   -73.836947
118_Li-Water_Cls_035                   -95.260944
118_Li-Water_Cls_036                   -91.970871
118_Li-Water_Cls_037                   -81.307074
118_Li-Water_Cls_038                   -90.428234
118_Li-Water_Cls_039                   -96.970369
118_Li-Water_Cls_040                   -68.404971
118_Li-Water_Cls_041                   -89.889395
118_Li-Water_Cls_042                   -93.903146
118_Li-Water_Cls_043                   -91.070801
118_Li-Water_Cls_044                   -93.165172
118_Li-Water_Cls_045                   -91.285531
118_Li-Water_Cls_046                   -91.203295
118_Li-Water_Cls_047                   -93.262377
118_Li-Water_Cls_048                   -78.363413
118_Li-Water_Cls_049                   -84.335260
118_Li-Water_Cls_050                   -93.068575
118_Li-Water_Cls_051                   -86.417976
118_Li-Water_Cls_052                   -90.511809
118_Li-Water_Cls_053                   -90.826909
118_Li-Water_Cls_054                   -87.479226
118_Li-Water_Cls_055                   -85.345191
118_Li-Water_Cls_056                   -95.376003
118_Li-Water_Cls_057                   -94.396899
118_Li-Water_Cls_058                   -91.475139
118_Li-Water_Cls_059                   -90.530570
118_Li-Water_Cls_060                   -92.207304
118_Li-Water_Cls_061                   -88.526567
118_Li-Water_Cls_062                   -94.337914
118_Li-Water_Cls_063                   -89.461949
118_Li-Water_Cls_064                   -78.787770
118_Li-Water_Cls_065                   -92.357257
118_Li-Water_Cls_066                   -91.642344
118_Li-Water_Cls_067                   -88.211099
118_Li-Water_Cls_068                   -89.660612
118_Li-Water_Cls_069                   -92.300548
118_Li-Water_Cls_070                   -91.154967
118_Li-Water_Cls_071                   -87.778302
118_Li-Water_Cls_072                   -80.775460
118_Li-Water_Cls_073                   -90.033020
118_Li-Water_Cls_074                   -89.281904
118_Li-Water_Cls_075                   -90.846022
118_Li-Water_Cls_076                   -94.421527
118_Li-Water_Cls_077                   -93.565335
118_Li-Water_Cls_078                   -74.695421
118_Li-Water_Cls_079                   -94.302662
118_Li-Water_Cls_080                   -93.267582
118_Li-Water_Cls_081                   -93.401196
118_Li-Water_Cls_082                   -92.120752
118_Li-Water_Cls_083                   -85.866333
118_Li-Water_Cls_084                   -96.074088
118_Li-Water_Cls_085                   -78.377787
118_Li-Water_Cls_086                   -87.971523
118_Li-Water_Cls_087                   -95.839646
118_Li-Water_Cls_088                   -89.134786
118_Li-Water_Cls_089                   -77.852180
118_Li-Water_Cls_090                   -91.329561
118_Li-Water_Cls_091                   -93.310759
118_Li-Water_Cls_092                   -91.640229
118_Li-Water_Cls_093                   -90.862579
118_Li-Water_Cls_094                   -91.724528
118_Li-Water_Cls_095                   -92.359565
118_Li-Water_Cls_096                   -92.937150
118_Li-Water_Cls_097                   -89.205631
118_Li-Water_Cls_098                   -93.846042
118_Li-Water_Cls_099                   -79.283193
119_Na-Water_Cls_000                   -53.495979
119_Na-Water_Cls_001                   -67.376816
119_Na-Water_Cls_002                   -75.080464
119_Na-Water_Cls_003                   -70.008864
119_Na-Water_Cls_004                   -61.694472
119_Na-Water_Cls_005                   -54.637105
119_Na-Water_Cls_006                   -61.217315
119_Na-Water_Cls_007                   -71.315552
119_Na-Water_Cls_008                   -72.108267
119_Na-Water_Cls_009                   -77.332068
119_Na-Water_Cls_010                   -73.329636
119_Na-Water_Cls_011                   -64.149631
119_Na-Water_Cls_012                   -70.865605
119_Na-Water_Cls_013                   -76.011691
119_Na-Water_Cls_014                   -68.190315
119_Na-Water_Cls_015                   -66.484670
119_Na-Water_Cls_016                   -78.446231
119_Na-Water_Cls_017                   -64.423131
119_Na-Water_Cls_018                   -77.981733
119_Na-Water_Cls_019                   -64.372588
119_Na-Water_Cls_020                   -71.471885
119_Na-Water_Cls_021                   -70.993747
119_Na-Water_Cls_022                   -63.134108
119_Na-Water_Cls_023                   -70.055016
119_Na-Water_Cls_024                   -58.145110
119_Na-Water_Cls_025                   -69.941349
119_Na-Water_Cls_026                   -77.057348
119_Na-Water_Cls_027                   -48.031650
119_Na-Water_Cls_028                   -60.334055
119_Na-Water_Cls_029                   -65.292496
119_Na-Water_Cls_030                   -78.453632
119_Na-Water_Cls_031                   -74.926662
119_Na-Water_Cls_032                   -66.361093
119_Na-Water_Cls_033                   -37.292990
119_Na-Water_Cls_034                   -81.900630
119_Na-Water_Cls_035                   -66.104916
119_Na-Water_Cls_036                   -66.314618
119_Na-Water_Cls_037                   -72.276628
119_Na-Water_Cls_038                   -74.148543
119_Na-Water_Cls_039                   -74.350409
119_Na-Water_Cls_040                   -70.259070
119_Na-Water_Cls_041                   -69.455115
119_Na-Water_Cls_042                   -64.919120
119_Na-Water_Cls_043                   -74.678456
119_Na-Water_Cls_044                   -64.483557
119_Na-Water_Cls_045                   -72.767525
119_Na-Water_Cls_046                   -73.836182
119_Na-Water_Cls_047                   -56.600159
119_Na-Water_Cls_048                   -67.818525
119_Na-Water_Cls_049                   -73.432815
119_Na-Water_Cls_050                   -71.275295
119_Na-Water_Cls_051                   -57.126741
119_Na-Water_Cls_052                   -61.836854
119_Na-Water_Cls_053                   -79.380910
119_Na-Water_Cls_054                   -67.382553
119_Na-Water_Cls_055                   -55.231505
119_Na-Water_Cls_056                   -73.172342
119_Na-Water_Cls_057                   -71.268960
119_Na-Water_Cls_058                   -76.936682
119_Na-Water_Cls_059                   -71.527312
119_Na-Water_Cls_060                   -74.217461
119_Na-Water_Cls_061                   -75.986452
119_Na-Water_Cls_062                   -76.872927
119_Na-Water_Cls_063                   -61.334859
119_Na-Water_Cls_064                   -80.179446
119_Na-Water_Cls_065                   -68.978583
119_Na-Water_Cls_066                   -73.024556
119_Na-Water_Cls_067                   -73.092778
119_Na-Water_Cls_068                   -57.809751
119_Na-Water_Cls_069                   -62.297213
119_Na-Water_Cls_070                   -82.349277
119_Na-Water_Cls_071                   -72.931273
119_Na-Water_Cls_072                   -68.735805
119_Na-Water_Cls_073                   -72.581594
119_Na-Water_Cls_074                   -61.579824
119_Na-Water_Cls_075                   -59.905514
119_Na-Water_Cls_076                   -63.549880
119_Na-Water_Cls_077                   -69.481088
119_Na-Water_Cls_078                   -74.715368
119_Na-Water_Cls_079                   -76.726239
119_Na-Water_Cls_080                   -68.613610
119_Na-Water_Cls_081                   -67.957868
119_Na-Water_Cls_082                   -67.166736
119_Na-Water_Cls_083                   -78.499343
119_Na-Water_Cls_084                   -71.203790
119_Na-Water_Cls_085                   -72.645152
119_Na-Water_Cls_086                   -67.796595
119_Na-Water_Cls_087                   -73.803853
119_Na-Water_Cls_088                   -69.693974
119_Na-Water_Cls_089                   -60.640475
119_Na-Water_Cls_090                   -71.694741
119_Na-Water_Cls_091                   -70.928800
119_Na-Water_Cls_092                   -70.991275
119_Na-Water_Cls_093                   -55.825244
119_Na-Water_Cls_094                   -70.024775
119_Na-Water_Cls_095                   -72.218778
119_Na-Water_Cls_096                   -56.579872
119_Na-Water_Cls_097                   -74.115564
119_Na-Water_Cls_098                   -62.795635
119_Na-Water_Cls_099                   -59.982976
120_K-Water_Cls_000                    -63.516925
120_K-Water_Cls_001                    -59.512820
120_K-Water_Cls_002                    -64.002272
120_K-Water_Cls_003                    -56.637832
120_K-Water_Cls_004                    -56.835670
120_K-Water_Cls_005                    -52.001349
120_K-Water_Cls_006                    -55.902611
120_K-Water_Cls_007                    -45.952767
120_K-Water_Cls_008                    -58.703197
120_K-Water_Cls_009                    -44.855646
120_K-Water_Cls_010                    -49.436318
120_K-Water_Cls_011                    -55.251759
120_K-Water_Cls_012                    -48.484318
120_K-Water_Cls_013                    -28.535080
120_K-Water_Cls_014                    -58.470130
120_K-Water_Cls_015                    -59.718813
120_K-Water_Cls_016                    -34.853154
120_K-Water_Cls_017                    -60.655799
120_K-Water_Cls_018                    -50.137962
120_K-Water_Cls_019                    -50.805334
120_K-Water_Cls_020                    -58.909544
120_K-Water_Cls_021                    -56.869020
120_K-Water_Cls_022                    -53.692468
120_K-Water_Cls_023                    -59.250210
120_K-Water_Cls_024                    -62.454149
120_K-Water_Cls_025                    -54.886789
120_K-Water_Cls_026                    -52.715001
120_K-Water_Cls_027                    -58.741272
120_K-Water_Cls_028                    -41.820398
120_K-Water_Cls_029                    -53.982980
120_K-Water_Cls_030                    -56.031772
120_K-Water_Cls_031                    -64.839147
120_K-Water_Cls_032                    -58.774555
120_K-Water_Cls_033                    -60.122966
120_K-Water_Cls_034                    -46.012572
120_K-Water_Cls_035                    -39.738229
120_K-Water_Cls_036                    -47.279894
120_K-Water_Cls_037                    -62.974301
120_K-Water_Cls_038                    -41.510952
120_K-Water_Cls_039                    -58.000570
120_K-Water_Cls_040                    -60.111712
120_K-Water_Cls_041                    -64.073341
120_K-Water_Cls_042                    -52.273422
120_K-Water_Cls_043                    -49.046857
120_K-Water_Cls_044                    -45.571343
120_K-Water_Cls_045                    -45.781879
120_K-Water_Cls_046                    -45.991076
120_K-Water_Cls_047                    -58.266481
120_K-Water_Cls_048                    -56.742312
120_K-Water_Cls_049                    -60.191643
120_K-Water_Cls_050                    -39.088910
120_K-Water_Cls_051                    -62.457605
120_K-Water_Cls_052                    -59.035311
120_K-Water_Cls_053                    -71.681517
120_K-Water_Cls_054                    -55.636184
120_K-Water_Cls_055                    -59.965129
120_K-Water_Cls_056                    -60.275027
120_K-Water_Cls_057                    -56.165966
120_K-Water_Cls_058                    -65.095745
120_K-Water_Cls_059                    -57.699911
120_K-Water_Cls_060                    -46.938552
120_K-Water_Cls_061                    -59.677351
120_K-Water_Cls_062                    -40.458213
120_K-Water_Cls_063                    -56.211094
120_K-Water_Cls_064                    -53.753391
120_K-Water_Cls_065                    -61.233511
120_K-Water_Cls_066                    -40.968028
120_K-Water_Cls_067                    -55.942311
120_K-Water_Cls_068                    -59.600572
120_K-Water_Cls_069                    -58.126269
120_K-Water_Cls_070                    -49.139938
120_K-Water_Cls_071                    -55.944855
120_K-Water_Cls_072                    -36.284660
120_K-Water_Cls_073                    -55.161845
120_K-Water_Cls_074                    -46.413053
120_K-Water_Cls_075                    -57.893858
120_K-Water_Cls_076                    -56.926845
120_K-Water_Cls_077                    -49.630902
120_K-Water_Cls_078                    -67.057499
120_K-Water_Cls_079                    -51.632198
120_K-Water_Cls_080                    -46.961321
120_K-Water_Cls_081                    -47.088247
120_K-Water_Cls_082                    -48.932012
120_K-Water_Cls_083                    -44.497329
120_K-Water_Cls_084                    -44.752688
120_K-Water_Cls_085                    -58.215905
120_K-Water_Cls_086                    -43.257883
120_K-Water_Cls_087                    -62.750864
120_K-Water_Cls_088                    -61.252351
120_K-Water_Cls_089                    -50.813672
120_K-Water_Cls_090                    -45.927814
120_K-Water_Cls_091                    -65.051153
120_K-Water_Cls_092                    -57.813660
120_K-Water_Cls_093                    -56.289313
120_K-Water_Cls_094                    -43.839223
120_K-Water_Cls_095                    -47.326921
