Filename                           Electrostatics             VdW    Polarization          AMOEBA
120_K-Water_Cls_055                    -86.182083       21.454384       -7.902388      -72.630087
120_K-Water_Cls_056                    -76.361444       16.133817       -7.526618      -67.754246
120_K-Water_Cls_057                    -69.530933        8.778888       -6.798319      -67.550363
120_K-Water_Cls_058                    -67.906138       12.168472       -8.353485      -64.091151
120_K-Water_Cls_059                    -66.348583        9.816447       -6.832402      -63.364538
120_K-Water_Cls_060                    -56.810839        8.756293       -7.120184      -55.174730
120_K-Water_Cls_061                    -63.338537        7.376378       -7.356957      -63.319117
120_K-Water_Cls_062                    -46.201517        7.064718       -7.880565      -47.017364
120_K-Water_Cls_063                    -65.246916        8.247869       -7.360738      -64.359785
120_K-Water_Cls_064                    -69.270473       11.634653       -7.744108      -65.379929
120_K-Water_Cls_065                    -85.102884        7.067791       -3.143898      -81.178991
120_K-Water_Cls_066                    -45.776802        7.840752       -7.337749      -45.273800
120_K-Water_Cls_067                    -62.377233        5.745732       -6.286867      -62.918368
120_K-Water_Cls_068                    -68.271255        8.288200       -7.048667      -67.031723
120_K-Water_Cls_069                    -68.685896        7.690011       -6.470958      -67.466843
120_K-Water_Cls_070                    -51.176127        6.466772       -8.259936      -52.969291
120_K-Water_Cls_071                    -69.225674       11.378291       -7.133687      -64.981070
120_K-Water_Cls_072                    -34.654803        2.669756       -7.637435      -39.622483
120_K-Water_Cls_073                    -64.924956       12.045936       -8.257636      -61.136656
120_K-Water_Cls_074                    -60.608168       11.115863       -8.597252      -58.089557
120_K-Water_Cls_075                    -69.092418       12.058396       -7.936542      -64.970564
120_K-Water_Cls_076                    -61.939029        7.234376       -7.337426      -62.042079
120_K-Water_Cls_077                    -58.389913       11.793639       -7.970646      -54.566920
120_K-Water_Cls_078                    -79.255923        8.160382       -5.798132      -76.893672
120_K-Water_Cls_079                    -57.953834        8.306965       -8.425196      -58.072065
120_K-Water_Cls_080                    -65.779449       13.204543       -7.702398      -60.277305
120_K-Water_Cls_081                    -57.706645       15.428913      -10.222600      -52.500332
120_K-Water_Cls_082                    -66.881461       16.200590       -8.971268      -59.652140
120_K-Water_Cls_083                    -50.725725        9.751085       -9.177363      -50.152004
120_K-Water_Cls_084                    -47.727572        5.223344       -7.241214      -49.745442
120_K-Water_Cls_085                    -65.143864        7.004686       -7.542693      -65.681870
120_K-Water_Cls_086                    -48.069889        5.954419       -7.068385      -49.183855
120_K-Water_Cls_087                    -78.167700       10.509388       -6.005820      -73.664132
120_K-Water_Cls_088                    -78.239312        9.305362       -5.723550      -74.657501
120_K-Water_Cls_089                    -67.412942       16.681104       -8.879046      -59.610883
120_K-Water_Cls_090                    -59.545451       14.359016       -9.657887      -54.844321
120_K-Water_Cls_091                    -82.000722        9.409366       -5.409310      -78.000666
120_K-Water_Cls_092                    -62.306514        5.368360       -6.821477      -63.759631
120_K-Water_Cls_093                    -62.286342        4.472638       -5.755212      -63.568916
120_K-Water_Cls_094                    -48.823729        7.960733       -8.556644      -49.419639
120_K-Water_Cls_095                    -64.936033       17.403371       -9.753827      -57.286489
120_K-Water_Cls_096                    -57.827844        9.165036       -8.500082      -57.162891
120_K-Water_Cls_097                    -85.073046       10.979535       -6.431823      -80.525334
120_K-Water_Cls_098                    -71.497445       12.972358       -7.983846      -66.508933
120_K-Water_Cls_099                    -58.297332        6.636364       -8.017371      -59.678339
121_F-Water_Cls_000                    -90.194955       27.171760      -21.221975      -84.245170
121_F-Water_Cls_001                    -98.747280       23.645432      -20.167085      -95.268933
121_F-Water_Cls_002                   -108.146231       27.839457      -17.930579      -98.237353
121_F-Water_Cls_003                   -102.550474       26.120916      -19.529949      -95.959507
121_F-Water_Cls_004                    -93.435831       24.065937      -20.084627      -89.454520
121_F-Water_Cls_005                   -111.507050       25.028764      -17.437720     -103.916006
121_F-Water_Cls_006                    -91.199597       29.050437      -22.729020      -84.878180
121_F-Water_Cls_007                    -94.156314       24.035112      -20.892510      -91.013712
121_F-Water_Cls_008                   -107.290822       28.979073      -17.728186      -96.039935
121_F-Water_Cls_009                    -96.363254       19.350875      -19.547885      -96.560264
121_F-Water_Cls_010                    -72.702262       18.560942      -22.727534      -76.868854
121_F-Water_Cls_011                    -87.217854       22.681683      -22.320687      -86.856858
121_F-Water_Cls_012                    -75.128696       24.692410      -24.286304      -74.722591
121_F-Water_Cls_013                   -116.011704       18.481438      -13.781663     -111.311929
121_F-Water_Cls_014                    -87.812952       18.889542      -19.847449      -88.770859
121_F-Water_Cls_015                    -87.576169       25.130982      -23.470605      -85.915793
121_F-Water_Cls_016                    -89.717027       23.462933      -22.222606      -88.476700
121_F-Water_Cls_017                   -101.005642       22.976807      -19.453114      -97.481949
121_F-Water_Cls_018                    -71.078888       18.946384      -22.530644      -74.663148
121_F-Water_Cls_019                    -89.881148       24.683490      -23.267669      -88.465326
121_F-Water_Cls_020                    -91.097367       18.642687      -20.327033      -92.781713
121_F-Water_Cls_021                    -94.152150       28.834065      -23.437422      -88.755506
121_F-Water_Cls_022                    -85.714580       23.415051      -21.429051      -83.728579
121_F-Water_Cls_023                    -87.812651       24.551756      -22.872028      -86.132923
121_F-Water_Cls_024                    -85.500776       19.002571      -21.401766      -87.899972
121_F-Water_Cls_025                    -95.617535       29.229288      -22.949430      -89.337678
121_F-Water_Cls_026                    -94.232316       24.914041      -22.343231      -91.661505
121_F-Water_Cls_027                   -101.980701       31.064995      -21.219271      -92.134977
121_F-Water_Cls_028                   -100.923353       23.613024      -20.193746      -97.504075
121_F-Water_Cls_029                   -106.511286       30.092302      -20.309593      -96.728577
121_F-Water_Cls_030                    -73.598457       18.970269      -22.575671      -77.203859
121_F-Water_Cls_031                   -105.259543       25.354726      -18.247210      -98.152026
121_F-Water_Cls_032                   -108.365338       32.713477      -21.085025      -96.736886
121_F-Water_Cls_033                    -95.895321       24.335524      -20.870985      -92.430781
121_F-Water_Cls_034                    -84.870004       28.327391      -25.236262      -81.778875
121_F-Water_Cls_035                    -95.346564       26.599706      -21.616968      -90.363825
121_F-Water_Cls_036                    -89.077260       23.370851      -22.193538      -87.899948
121_F-Water_Cls_037                    -91.166098       32.938445      -24.814855      -83.042508
121_F-Water_Cls_038                    -86.853476       22.012726      -21.959333      -86.800084
121_F-Water_Cls_039                    -87.483015       27.252467      -24.600703      -84.831251
121_F-Water_Cls_040                    -99.560474       24.004617      -19.155396      -94.711253
121_F-Water_Cls_041                   -102.912431       20.605627      -18.908365     -101.215168
121_F-Water_Cls_042                    -99.703769       25.260917      -19.690137      -94.132988
121_F-Water_Cls_043                    -93.851648       30.042540      -24.553031      -88.362139
121_F-Water_Cls_044                    -91.550325       21.814795      -21.290368      -91.025897
121_F-Water_Cls_045                    -83.233594       19.523287      -21.159294      -84.869601
121_F-Water_Cls_046                    -95.555517       25.309598      -22.985500      -93.231419
121_F-Water_Cls_047                    -96.676460       17.209783      -16.331918      -95.798594
121_F-Water_Cls_048                   -102.366553       24.874506      -20.583334      -98.075381
121_F-Water_Cls_049                    -71.102183       24.532689      -26.657426      -73.226921
121_F-Water_Cls_050                   -104.024627       20.994785      -18.326400     -101.356243
121_F-Water_Cls_051                    -91.065612       26.293396      -22.917779      -87.689995
121_F-Water_Cls_052                    -92.516852       18.878029      -18.998081      -92.636904
121_F-Water_Cls_053                    -99.731689       23.342059      -18.790568      -95.180198
121_F-Water_Cls_054                    -97.616567       26.308205      -22.590507      -93.898868
121_F-Water_Cls_055                    -96.965292       23.195608      -21.566224      -95.335908
121_F-Water_Cls_056                    -79.226470       23.678768      -24.818850      -80.366552
121_F-Water_Cls_057                    -85.036677       20.563076      -23.098957      -87.572558
121_F-Water_Cls_058                    -97.924257       21.533011      -19.073027      -95.464273
121_F-Water_Cls_059                   -104.568605       26.647927      -20.892234      -98.812912
121_F-Water_Cls_060                    -86.012679       18.779060      -21.572153      -88.805772
121_F-Water_Cls_061                    -89.307946       27.265525      -23.168582      -85.211003
121_F-Water_Cls_062                   -105.718282       24.288881      -19.182030     -100.611431
121_F-Water_Cls_063                    -90.299266       17.143528      -19.704643      -92.860381
121_F-Water_Cls_064                    -83.057329       18.528292      -20.889102      -85.418140
121_F-Water_Cls_065                   -110.984652       23.378167      -16.856118     -104.462603
121_F-Water_Cls_066                    -90.767133       17.342866      -19.302241      -92.726508
121_F-Water_Cls_067                   -103.539059       22.299946      -18.103252      -99.342365
121_F-Water_Cls_068                   -108.260416       18.826616      -15.163365     -104.597165
121_F-Water_Cls_069                    -83.779963       29.292068      -25.209941      -79.697836
121_F-Water_Cls_070                    -76.596004       21.314628      -22.099527      -77.380903
121_F-Water_Cls_071                    -98.829681       32.348036      -23.306544      -89.788189
